[Parallel(n_jobs=-1)]: Done 209 tasks      | elapsed:  3.3min
[Parallel(n_jobs=-1)]: Done 232 tasks      | elapsed:  3.6min
[Parallel(n_jobs=-1)]: Done 257 tasks      | elapsed:  4.0min
[Parallel(n_jobs=-1)]: Done 282 tasks      | elapsed:  4.4min
[Parallel(n_jobs=-1)]: Done 309 tasks      | elapsed:  4.8min
[Parallel(n_jobs=-1)]: Done 336 tasks      | elapsed:  5.2min
[Parallel(n_jobs=-1)]: Done 365 tasks      | elapsed:  5.6min
[Parallel(n_jobs=-1)]: Done 394 tasks      | elapsed:  6.0min
[Parallel(n_jobs=-1)]: Done 425 tasks      | elapsed:  6.4min
[Parallel(n_jobs=-1)]: Done 456 tasks      | elapsed:  6.8min
[Parallel(n_jobs=-1)]: Done 489 tasks      | elapsed:  7.4min
[Parallel(n_jobs=-1)]: Done 522 tasks      | elapsed:  7.9min
[Parallel(n_jobs=-1)]: Done 557 tasks      | elapsed:  8.3min
[Parallel(n_jobs=-1)]: Done 592 tasks      | elapsed:  8.9min
[Parallel(n_jobs=-1)]: Done 629 tasks      | elapsed:  9.4min
[Parallel(n_jobs=-1)]: Done 666 tasks      | elapsed:  9.9min
[Parallel(n_jobs=-1)]: Done 705 tasks      | elapsed: 10.5min
[Parallel(n_jobs=-1)]: Done 744 tasks      | elapsed: 11.1min
[Parallel(n_jobs=-1)]: Done 785 tasks      | elapsed: 11.7min
[Parallel(n_jobs=-1)]: Done 826 tasks      | elapsed: 12.3min
[Parallel(n_jobs=-1)]: Done 869 tasks      | elapsed: 12.9min
[Parallel(n_jobs=-1)]: Done 912 tasks      | elapsed: 13.5min
[Parallel(n_jobs=-1)]: Done 1000 out of 1000 | elapsed: 14.8min finished
[Parallel(n_jobs=-1)]: Using backend LokyBackend with 28 concurrent workers.
[Parallel(n_jobs=-1)]: Done   5 tasks      | elapsed:   37.3s
[Parallel(n_jobs=-1)]: Done  16 tasks      | elapsed:   38.4s
[Parallel(n_jobs=-1)]: Done  29 tasks      | elapsed:  1.2min
[Parallel(n_jobs=-1)]: Done  42 tasks      | elapsed:  1.3min
[Parallel(n_jobs=-1)]: Done  57 tasks      | elapsed:  1.8min
[Parallel(n_jobs=-1)]: Done  72 tasks      | elapsed:  1.9min
[Parallel(n_jobs=-1)]: Done  89 tasks      | elapsed:  2.4min
[Parallel(n_jobs=-1)]: Done 106 tasks      | elapsed:  2.5min
[Parallel(n_jobs=-1)]: Done 125 tasks      | elapsed:  3.1min
[Parallel(n_jobs=-1)]: Done 144 tasks      | elapsed:  3.6min
[Parallel(n_jobs=-1)]: Done 165 tasks      | elapsed:  3.8min
[Parallel(n_jobs=-1)]: Done 186 tasks      | elapsed:  4.4min
[Parallel(n_jobs=-1)]: Done 209 tasks      | elapsed:  4.9min
[Parallel(n_jobs=-1)]: Done 232 tasks      | elapsed:  5.5min
[Parallel(n_jobs=-1)]: Done 257 tasks      | elapsed:  6.0min
[Parallel(n_jobs=-1)]: Done 282 tasks      | elapsed:  6.6min
[Parallel(n_jobs=-1)]: Done 309 tasks      | elapsed:  7.2min
[Parallel(n_jobs=-1)]: Done 336 tasks      | elapsed:  7.8min
[Parallel(n_jobs=-1)]: Done 365 tasks      | elapsed:  8.4min
[Parallel(n_jobs=-1)]: Done 394 tasks      | elapsed:  9.1min
[Parallel(n_jobs=-1)]: Done 425 tasks      | elapsed:  9.7min
[Parallel(n_jobs=-1)]: Done 456 tasks      | elapsed: 10.3min
[Parallel(n_jobs=-1)]: Done 489 tasks      | elapsed: 11.1min
[Parallel(n_jobs=-1)]: Done 522 tasks      | elapsed: 11.8min
[Parallel(n_jobs=-1)]: Done 557 tasks      | elapsed: 12.5min
[Parallel(n_jobs=-1)]: Done 592 tasks      | elapsed: 13.3min
[Parallel(n_jobs=-1)]: Done 629 tasks      | elapsed: 14.2min
[Parallel(n_jobs=-1)]: Done 666 tasks      | elapsed: 15.0min
[Parallel(n_jobs=-1)]: Done 705 tasks      | elapsed: 15.8min
[Parallel(n_jobs=-1)]: Done 744 tasks      | elapsed: 16.7min
[Parallel(n_jobs=-1)]: Done 785 tasks      | elapsed: 17.5min
[Parallel(n_jobs=-1)]: Done 826 tasks      | elapsed: 18.5min
[Parallel(n_jobs=-1)]: Done 869 tasks      | elapsed: 19.4min
[Parallel(n_jobs=-1)]: Done 912 tasks      | elapsed: 20.5min
[Parallel(n_jobs=-1)]: Done 1000 out of 1000 | elapsed: 22.3min finished
[Parallel(n_jobs=-1)]: Using backend LokyBackend with 28 concurrent workers.
